"","Var1","Freq"
"1","0",306006
"2","5000",1831
"3","50000",1027
"4","10000",885
"5","1e+05",506
"6","25000",390
"7","2000",358
"8","20000",349
"9","5e+05",336
"10","500",287
"11","3000",272
"12","15000",263
"13","1000",239
"14","2e+05",218
"15","250000",172
"16","1e+06",167
"17","30000",144
"18","75000",140
"19","150000",113
"20","3e+05",108
"21","4000",97
"22","40000",96
"23","2e+06",85
"24","50",83
"25","5e+06",79
"26","8000",52
"27","4e+05",48
"28","35000",37
"29","3e+06",34
"30","6000",33
"31","2500",32
"32","4e+06",31
"33","1500000",28
"34","750000",27
"35","80000",26
"36","125000",25
"37","2500000",22
"38","7000",20
"39","1500",19
"40","12000",18
"41","60000",18
"42","3500",17
"43","5e+07",17
"44","1e+07",15
"45","6e+05",14
"46","6e+06",14
"47","200",13
"48","1.5e+07",13
"49","1200000",12
"50","2e+07",12
"51","45000",11
"52","90000",11
"53","55000",10
"54","1800000",10
"55","100",9
"56","18000",9
"57","70000",9
"58","350000",9
"59","7500",8
"60","7e+05",8
"61","8e+05",8
"62","9e+05",8
"63","3500000",7
"64","1.2e+07",7
"65","1",6
"66","800",6
"67","9000",6
"68","7e+06",6
"69","300",5
"70","12500",5
"71","120000",5
"72","1300000",5
"73","1400000",5
"74","2100000",5
"75","2.5e+07",5
"76","3e+07",5
"77","4e+07",5
"78","5e+08",5
"79","750",4
"80","4500",4
"81","85000",4
"82","110000",4
"83","140000",4
"84","160000",4
"85","240000",4
"86","550000",4
"87","2200000",4
"88","5500000",4
"89","9e+06",4
"90","1.4e+07",4
"91","1e+08",4
"92","2e+08",4
"93","3",3
"94","5",3
"95","65000",3
"96","170000",3
"97","230000",3
"98","280000",3
"99","1100000",3
"100","1600000",3
"101","4500000",3
"102","5700000",3
"103","6500000",3
"104","7800000",3
"105","8e+06",3
"106","1.6e+07",3
"107","2.4e+07",3
"108","7e+07",3
"109","10",2
"110","15",2
"111","400",2
"112","600",2
"113","700",2
"114","1250",2
"115","8500",2
"116","11700",2
"117","22000",2
"118","36000",2
"119","130000",2
"120","175000",2
"121","185000",2
"122","220000",2
"123","225000",2
"124","320000",2
"125","325000",2
"126","450000",2
"127","650000",2
"128","1250000",2
"129","1580000",2
"130","1700000",2
"131","1900000",2
"132","3600000",2
"133","3700000",2
"134","5400000",2
"135","5900000",2
"136","6700000",2
"137","7700000",2
"138","10500000",2
"139","1.1e+07",2
"140","1.3e+07",2
"141","1.7e+07",2
"142","1.8e+07",2
"143","20040000",2
"144","2.2e+07",2
"145","3.3e+07",2
"146","3.5e+07",2
"147","6e+07",2
"148","6.4e+07",2
"149","6.5e+07",2
"150","1.5e+08",2
"151","2.4e+08",2
"152","20",1
"153","60",1
"154","240",1
"155","350",1
"156","1300",1
"157","1700",1
"158","1800",1
"159","3250",1
"160","5500",1
"161","5600",1
"162","9900",1
"163","11500",1
"164","13500",1
"165","14000",1
"166","16000",1
"167","17000",1
"168","19000",1
"169","21000",1
"170","21600",1
"171","22700",1
"172","23000",1
"173","24000",1
"174","24500",1
"175","27000",1
"176","32000",1
"177","33000",1
"178","38000",1
"179","39000",1
"180","43000",1
"181","44000",1
"182","52000",1
"183","56000",1
"184","63000",1
"185","68000",1
"186","81000",1
"187","97000",1
"188","115000",1
"189","145000",1
"190","149700",1
"191","151000",1
"192","156500",1
"193","159000",1
"194","177000",1
"195","180000",1
"196","190000",1
"197","256000",1
"198","260100",1
"199","261000",1
"200","270000",1
"201","275000",1
"202","290000",1
"203","310000",1
"204","330000",1
"205","332000",1
"206","335000",1
"207","380000",1
"208","420000",1
"209","430000",1
"210","460000",1
"211","465000",1
"212","500100",1
"213","510000",1
"214","540000",1
"215","575000",1
"216","605000",1
"217","640000",1
"218","655000",1
"219","660000",1
"220","675000",1
"221","850000",1
"222","865000",1
"223","875000",1
"224","975000",1
"225","978000",1
"226","990000",1
"227","1050000",1
"228","1120000",1
"229","1210000",1
"230","1270000",1
"231","1330000",1
"232","1550000",1
"233","1560000",1
"234","1650000",1
"235","1750000",1
"236","1770000",1
"237","1850000",1
"238","1960000",1
"239","2250000",1
"240","2400000",1
"241","2600000",1
"242","2700000",1
"243","2800000",1
"244","3110000",1
"245","3220000",1
"246","3390000",1
"247","3400000",1
"248","3800000",1
"249","4200000",1
"250","4400000",1
"251","4430000",1
"252","4600000",1
"253","4910000",1
"254","5200000",1
"255","5250000",1
"256","5300000",1
"257","5990000",1
"258","6100000",1
"259","6210000",1
"260","6900000",1
"261","7100000",1
"262","7140000",1
"263","7200000",1
"264","7500000",1
"265","7550000",1
"266","7810000",1
"267","8400000",1
"268","8550000",1
"269","8900000",1
"270","9600000",1
"271","10200000",1
"272","10450000",1
"273","10800000",1
"274","11960000",1
"275","12400000",1
"276","12500000",1
"277","13200000",1
"278","13400000",1
"279","14100000",1
"280","15200000",1
"281","15300000",1
"282","15650000",1
"283","15700000",1
"284","17100000",1
"285","17500000",1
"286","19800000",1
"287","20300000",1
"288","21600000",1
"289","22600000",1
"290","24270000",1
"291","25010000",1
"292","25200000",1
"293","26500000",1
"294","2.7e+07",1
"295","2.8e+07",1
"296","2.9e+07",1
"297","29100000",1
"298","3.1e+07",1
"299","3.6e+07",1
"300","3.7e+07",1
"301","38800000",1
"302","39850000",1
"303","41660000",1
"304","42300000",1
"305","4.3e+07",1
"306","43680000",1
"307","4.5e+07",1
"308","4.6e+07",1
"309","46500000",1
"310","48400000",1
"311","5.3e+07",1
"312","55700000",1
"313","5.6e+07",1
"314","63400000",1
"315","63770000",1
"316","73600000",1
"317","77480000",1
"318","8e+07",1
"319","80850000",1
"320","82500000",1
"321","8.3e+07",1
"322","8.5e+07",1
"323","102300000",1
"324","109920000",1
"325","1.17e+08",1
"326","1.27e+08",1
"327","1.3e+08",1
"328","1.35e+08",1
"329","137900000",1
"330","150080000",1
"331","150200000",1
"332","1.54e+08",1
"333","160960000",1
"334","167900000",1
"335","1.68e+08",1
"336","169600000",1
"337","1.75e+08",1
"338","189680000",1
"339","2.5e+08",1
"340","3e+08",1
"341","3.01e+08",1
"342","306720000",1
"343","312480000",1
"344","3.38e+08",1
"345","399840000",1
"346","4e+08",1
"347","413600000",1
"348","4.2e+08",1
"349","4.5e+08",1
"350","4.8e+08",1
"351","5.15e+08",1
"352","578850000",1
