"","Var1","Freq"
"1","0",243151
"2","25000",10309
"3","250000",6907
"4","5000",6467
"5","2500",4959
"6","10000",4449
"7","50000",4318
"8","2500000",2299
"9","20000",2136
"10","1000",2036
"11","1e+05",1890
"12","2000",1832
"13","5e+05",1816
"14","30",1598
"15","250",1566
"16","15000",1499
"17","3000",1458
"18","500",1167
"19","30000",1111
"20","2e+05",708
"21","40000",626
"22","150000",612
"23","75000",608
"24","1e+06",567
"25","10",540
"26","2.5e+07",536
"27","5e+06",482
"28","8000",443
"29","4000",440
"30","50",420
"31","3e+05",369
"32","100",351
"33","60000",281
"34","80000",267
"35","2e+06",264
"36","35000",258
"37","6000",214
"38","4e+05",207
"39","7000",198
"40","12000",186
"41","750",170
"42","1500000",165
"43","70000",155
"44","45000",140
"45","750000",138
"46","3e+06",137
"47","1e+07",124
"48","125000",116
"49","1500",103
"50","350000",99
"51","6e+05",95
"52","90000",92
"53","200",90
"54","120000",87
"55","5e+07",83
"56","4e+06",81
"57","8e+05",78
"58","7e+05",66
"59","9000",65
"60","55000",64
"61","175000",64
"62","65000",62
"63","2e+07",60
"64","18000",56
"65","450000",56
"66","85000",55
"67","1200000",55
"68","6e+06",54
"69","20",44
"70","110000",44
"71","11000",43
"72","130000",42
"73","2.5e+08",42
"74","7500",41
"75","8e+06",39
"76","3500000",37
"77","1.5e+07",37
"78","3500",36
"79","14000",36
"80","9e+05",36
"81","16000",35
"82","22000",32
"83","95000",31
"84","1100000",30
"85","7e+06",30
"86","13000",29
"87","160000",29
"88","800",27
"89","17000",27
"90","225000",27
"91","275000",27
"92","180000",26
"93","170000",25
"94","650000",24
"95","1300000",24
"96","140000",23
"97","570000",23
"98","1800000",22
"99","150",21
"100","220000",21
"101","550000",21
"102","3e+07",21
"103","1600000",20
"104","28000",19
"105","325000",19
"106","1400000",19
"107","60",18
"108","300",18
"109","1e+08",18
"110","4500",17
"111","110",16
"112","190000",16
"113","9e+06",16
"114","1700000",15
"115","1.2e+07",15
"116","21000",14
"117","38000",14
"118","1250000",14
"119","2200000",14
"120","5",13
